customer_id,customer_age,annual_income,employment_status,account_tenure,product_holdings,relationship_value,risk_segment,behavioral_score,credit_score,city,last_activity_date
CUST_000021,50,48260.09,Part-time,2,4,23164.84,Prime,382.37,816,Sheffield,2025-07-18
CUST_000022,23,35301.22,Self-employed,3,2,9178.32,Subprime,505.83,631,Birmingham,2025-08-04
CUST_000023,82,114231.49,Retired,6,4,73108.15,Prime,159.38,823,Bristol,2025-07-29
CUST_000024,24,34558.03,Full-time,2,1,4146.96,Near-Prime,241.09,687,Sheffield,2025-07-19
CUST_000025,18,1376.99,Student,2,1,165.24,Subprime,310.59,613,Liverpool,2025-07-30
CUST_000026,25,6012.48,Unemployed,11,4,5050.48,Prime,235.94,759,London,2025-08-06
CUST_000027,18,4784.63,Student,1,1,526.31,Subprime,153.37,600,Bristol,2025-07-22
CUST_000028,41,77774.58,Full-time,0,3,23332.37,Near-Prime,172.29,712,Liverpool,2025-07-09
CUST_000029,69,105782.18,Retired,3,4,55006.73,Prime,129.22,850,Bristol,2025-07-16
CUST_000030,69,48636.7,Part-time,4,3,20427.41,Prime,501.84,814,Newcastle,2025-07-29
CUST_000031,35,53786.64,Full-time,6,3,25817.59,Prime,255.07,850,Liverpool,2025-07-25
CUST_000032,28,32465.14,Full-time,3,5,21102.34,Prime,393.1,824,London,2025-07-22
CUST_000033,44,57244.79,Contract,6,2,18318.33,Prime,168.82,844,Sheffield,2025-07-16
CUST_000034,64,78536.02,Full-time,6,5,62828.82,Prime,124.81,825,Sheffield,2025-07-19
CUST_000035,37,38120.17,Full-time,0,1,3812.02,Near-Prime,347.52,686,Sheffield,2025-07-25
CUST_000036,67,34861.79,Part-time,8,2,12550.24,Prime,463.34,785,Glasgow,2025-07-13
CUST_000037,31,24407.19,Part-time,3,2,6345.87,Near-Prime,532.31,682,Newcastle,2025-07-13
CUST_000038,49,16616.88,Self-employed,2,4,7976.1,Prime,326.83,756,Birmingham,2025-07-27
CUST_000039,24,35246.7,Full-time,3,2,9164.14,Subprime,546.37,649,Liverpool,2025-07-13
CUST_000040,113,153529.43,Retired,5,4,92117.66,Prime,168.43,850,Bristol,2025-07-26
CUST_000041,18,9600.0,Part-time,8,3,5184.0,Near-Prime,459.8,659,Birmingham,2025-07-25
CUST_000042,33,23795.63,Full-time,0,2,4759.13,Deep-Subprime,382.76,504,Bristol,2025-08-07
CUST_000043,18,5659.29,Student,11,2,2376.9,Near-Prime,271.74,729,Newcastle,2025-07-21
CUST_000044,34,76538.82,Self-employed,1,3,25257.81,Near-Prime,369.45,716,Bristol,2025-07-11
CUST_000045,22,30928.99,Full-time,1,1,3402.19,Deep-Subprime,86.9,507,Newcastle,2025-07-31
CUST_000046,19,13494.71,Student,6,2,4318.31,Near-Prime,84.8,724,Newcastle,2025-08-04
CUST_000047,18,15436.69,Part-time,1,2,3396.07,Subprime,125.81,641,Sheffield,2025-07-15
CUST_000048,40,52889.98,Full-time,5,3,23800.49,Near-Prime,322.11,737,London,2025-07-27
CUST_000049,52,40877.2,Full-time,1,3,13489.48,Near-Prime,133.64,739,Newcastle,2025-07-12
CUST_000050,78,62380.65,Part-time,2,2,14971.36,Prime,386.2,850,Newcastle,2025-08-04
CUST_000051,49,65747.27,Self-employed,5,2,19724.18,Near-Prime,613.95,713,Birmingham,2025-07-23
CUST_000052,55,102526.76,Full-time,1,2,22555.89,Near-Prime,13.24,668,Leeds,2025-07-26
CUST_000053,48,124941.84,Self-employed,2,3,44979.06,Prime,444.56,757,Leeds,2025-08-06
CUST_000054,132,147795.43,Retired,2,5,88677.26,Prime,429.58,850,Sheffield,2025-07-18
CUST_000055,43,29808.11,Full-time,2,2,7153.95,Prime,85.36,796,Sheffield,2025-07-12
CUST_000056,53,57588.72,Full-time,2,2,13821.29,Near-Prime,233.12,668,Leeds,2025-07-11
CUST_000057,84,90471.38,Retired,4,4,50663.97,Prime,369.28,825,Birmingham,2025-07-20
CUST_000058,57,53885.94,Full-time,4,1,7544.03,Near-Prime,392.89,736,London,2025-07-23
CUST_000059,18,4493.94,Student,7,1,763.97,Subprime,54.41,605,Newcastle,2025-07-12
CUST_000060,18,24359.93,Part-time,1,2,5359.19,Subprime,285.12,624,Cardiff,2025-07-20
CUST_000061,35,59672.71,Contract,7,1,10144.36,Subprime,432.09,621,Birmingham,2025-07-13
CUST_000062,37,111679.33,Self-employed,7,2,37970.97,Prime,90.69,850,Liverpool,2025-07-27
CUST_000063,42,7497.14,Unemployed,6,3,3598.62,Near-Prime,524.66,712,Leeds,2025-07-22
CUST_000064,37,33160.3,Full-time,3,2,8621.68,Subprime,294.18,629,Leeds,2025-07-31
CUST_000065,70,104671.38,Retired,3,3,40821.84,Prime,607.81,850,Glasgow,2025-07-26
CUST_000066,18,9496.47,Student,2,1,1139.58,Subprime,465.01,636,Newcastle,2025-07-16
CUST_000067,27,39257.31,Full-time,4,4,21984.09,Prime,456.26,784,Birmingham,2025-07-26
CUST_000068,30,45018.78,Full-time,1,2,9904.13,Subprime,82.86,624,Glasgow,2025-07-26
CUST_000069,135,96469.93,Part-time,1,2,21223.38,Prime,345.58,844,Sheffield,2025-07-19
CUST_000070,78,117322.68,Retired,6,4,75086.51,Prime,303.3,850,Glasgow,2025-07-21
CUST_000071,156,187708.3,Retired,2,4,90099.99,Prime,56.33,850,Glasgow,2025-07-12
CUST_000072,18,26683.6,Part-time,3,3,10406.6,Prime,164.8,812,Liverpool,2025-08-07
CUST_000073,40,51101.78,Full-time,5,3,22995.8,Prime,695.81,775,Bristol,2025-07-17
CUST_000074,41,21321.74,Full-time,0,3,6396.52,Near-Prime,227.95,661,Bristol,2025-08-03
CUST_000075,27,22552.64,Contract,1,3,7442.37,Near-Prime,368.02,745,Newcastle,2025-07-20
CUST_000076,37,55186.77,Full-time,1,3,18211.63,Near-Prime,419.59,686,Liverpool,2025-07-16
CUST_000077,85,96838.81,Retired,2,2,23241.31,Prime,497.79,850,Newcastle,2025-07-31
CUST_000078,19,20384.48,Full-time,4,3,8561.48,Near-Prime,139.24,738,Glasgow,2025-07-27
CUST_000079,34,34735.12,Full-time,6,5,27788.09,Prime,190.35,771,Birmingham,2025-07-22
CUST_000080,24,40401.69,Full-time,1,1,4444.19,Subprime,380.72,635,Cardiff,2025-08-05
CUST_000081,68,50147.22,Part-time,3,2,13038.28,Prime,458.85,762,London,2025-07-19
CUST_000082,18,12280.19,Student,2,1,1473.62,Subprime,470.9,618,Sheffield,2025-07-24
CUST_000083,38,55127.69,Full-time,2,5,33076.61,Prime,641.28,759,Leeds,2025-07-11
CUST_000084,70,113281.24,Retired,2,2,27187.5,Prime,379.91,850,Liverpool,2025-07-20
CUST_000085,79,59889.12,Part-time,1,3,19763.41,Prime,63.05,813,Birmingham,2025-07-10
CUST_000086,35,51212.21,Self-employed,4,2,14339.42,Prime,276.52,803,Newcastle,2025-07-24
CUST_000087,38,59635.06,Full-time,1,5,32799.28,Prime,159.77,850,Newcastle,2025-07-28
CUST_000088,23,16000.0,Full-time,2,2,3840.0,Deep-Subprime,556.84,489,Sheffield,2025-07-21
CUST_000089,19,19650.43,Part-time,3,1,2554.56,Near-Prime,523.2,665,London,2025-07-12
CUST_000090,22,45926.86,Contract,5,3,20667.09,Near-Prime,305.3,678,Sheffield,2025-07-19
CUST_000091,99,142947.18,Retired,7,3,72903.06,Prime,592.55,850,Cardiff,2025-08-05
CUST_000092,20,16223.06,Part-time,5,2,4866.92,Prime,646.8,849,Newcastle,2025-07-24
CUST_000093,28,52641.48,Full-time,4,1,7369.81,Subprime,311.14,597,London,2025-07-19
CUST_000094,25,38676.32,Full-time,4,2,10829.37,Prime,159.47,821,Leeds,2025-08-02
CUST_000095,31,35002.52,Full-time,5,2,10500.76,Prime,249.23,850,London,2025-07-28
CUST_000096,44,45915.85,Full-time,4,2,12856.44,Prime,387.24,751,Leeds,2025-07-31
CUST_000097,18,29788.35,Full-time,5,1,4468.25,Subprime,171.94,635,Cardiff,2025-07-15
CUST_000098,40,36680.32,Part-time,0,4,14672.13,Prime,406.51,767,Sheffield,2025-07-21
CUST_000099,45,52496.79,Full-time,2,2,12599.23,Near-Prime,119.36,742,Leeds,2025-07-15
CUST_000100,37,54588.02,Full-time,0,3,16376.41,Prime,562.18,850,Glasgow,2025-07-20
CUST_000101,40,37261.54,Self-employed,6,5,29809.23,Prime,134.5,819,London,2025-08-05
CUST_000102,70,105205.45,Retired,9,2,39978.07,Prime,445.65,773,Leeds,2025-08-04
CUST_000103,75,103813.5,Retired,5,3,46716.08,Prime,583.88,827,Liverpool,2025-07-21
CUST_000104,18,24642.61,Part-time,0,2,4928.52,Prime,93.61,796,Birmingham,2025-08-06
CUST_000105,52,9765.2,Unemployed,0,3,2929.56,Near-Prime,712.45,703,Glasgow,2025-07-29
CUST_000106,57,723.21,Unemployed,2,4,347.14,Prime,62.51,754,Birmingham,2025-08-06
CUST_000107,18,14650.88,Student,3,2,3809.23,Prime,276.43,794,Cardiff,2025-07-28
CUST_000108,18,7897.49,Student,4,3,3316.94,Prime,248.67,850,Newcastle,2025-07-26
CUST_000109,42,76444.94,Full-time,5,2,22933.48,Prime,287.77,850,London,2025-07-19
CUST_000110,52,72006.99,Full-time,3,3,28082.72,Prime,64.9,785,Bristol,2025-07-15
CUST_000111,18,29752.05,Part-time,5,2,8925.62,Prime,156.57,850,Manchester,2025-08-02
CUST_000112,21,8892.18,Student,1,1,978.14,Near-Prime,64.86,717,Bristol,2025-08-01
CUST_000113,18,16000.0,Full-time,0,2,3200.0,Deep-Subprime,139.47,459,Glasgow,2025-07-13
CUST_000114,57,115023.39,Self-employed,1,2,25305.15,Prime,365.49,786,Birmingham,2025-07-11
CUST_000115,18,34401.69,Part-time,1,2,7568.37,Near-Prime,255.7,699,Sheffield,2025-07-14
CUST_000116,30,48071.76,Full-time,2,1,5768.61,Near-Prime,142.3,691,Sheffield,2025-07-16
CUST_000117,36,50381.22,Self-employed,4,1,7053.37,Near-Prime,517.53,703,Leeds,2025-07-16
CUST_000118,34,48449.49,Full-time,1,1,5329.44,Subprime,349.27,640,Manchester,2025-07-29
CUST_000119,88,100545.26,Retired,2,4,48261.73,Prime,163.32,834,Leeds,2025-08-06
CUST_000120,33,34354.84,Part-time,4,2,9619.36,Prime,285.28,850,Sheffield,2025-07-12
CUST_000121,20,21558.73,Full-time,10,2,8623.49,Prime,48.13,798,Manchester,2025-07-27
CUST_000122,18,9600.0,Part-time,1,1,1056.0,Subprime,168.87,617,Leeds,2025-07-27
CUST_000123,26,49992.31,Full-time,4,3,20996.77,Near-Prime,329.69,693,Liverpool,2025-08-06
CUST_000124,56,75089.39,Full-time,3,1,9761.62,Near-Prime,158.6,739,Liverpool,2025-07-31
CUST_000125,24,34970.2,Full-time,0,1,3497.02,Subprime,261.67,596,Glasgow,2025-08-03
CUST_000126,74,102984.3,Retired,6,3,49432.46,Prime,123.51,802,Bristol,2025-07-21
CUST_000127,46,91075.04,Contract,1,5,50091.27,Prime,308.43,850,Manchester,2025-08-04
CUST_000128,24,19611.85,Full-time,1,2,4314.61,Deep-Subprime,336.5,516,Birmingham,2025-07-09
CUST_000129,41,106817.86,Self-employed,5,4,64090.72,Prime,270.16,781,Sheffield,2025-07-14
CUST_000130,18,23184.06,Part-time,4,2,6491.54,Near-Prime,217.79,658,Glasgow,2025-08-04
CUST_000131,39,89225.25,Full-time,5,2,26767.57,Prime,145.7,850,Glasgow,2025-07-21
CUST_000132,24,58859.35,Self-employed,7,2,20012.18,Near-Prime,393.84,709,Cardiff,2025-07-25
CUST_000133,18,4903.97,Student,2,1,588.48,Subprime,566.48,599,Sheffield,2025-07-14
CUST_000134,98,109736.42,Retired,7,5,93275.95,Prime,76.64,823,Cardiff,2025-07-23
CUST_000135,108,161299.22,Retired,1,3,53228.74,Prime,149.31,850,Cardiff,2025-07-30
CUST_000136,64,90430.52,Full-time,2,3,32554.99,Near-Prime,261.64,729,Bristol,2025-07-16
CUST_000137,38,57651.37,Full-time,2,2,13836.33,Prime,142.02,768,Leeds,2025-07-31
CUST_000138,18,12475.46,Student,3,1,1621.81,Deep-Subprime,443.07,546,Glasgow,2025-07-09
CUST_000139,18,10919.09,Student,2,2,2620.58,Near-Prime,85.9,699,Newcastle,2025-07-21
CUST_000140,76,79954.37,Retired,1,1,8794.98,Near-Prime,78.13,707,Leeds,2025-08-02
CUST_000141,26,36124.66,Full-time,1,2,7947.43,Near-Prime,466.29,712,Glasgow,2025-07-17
CUST_000142,21,9600.0,Part-time,5,3,4320.0,Near-Prime,398.76,725,London,2025-08-02
CUST_000143,18,12340.13,Part-time,3,3,4812.65,Near-Prime,124.8,680,Liverpool,2025-07-14
CUST_000144,62,94137.65,Self-employed,1,2,20710.28,Near-Prime,410.08,738,Newcastle,2025-07-23
CUST_000145,18,14199.57,Student,4,2,3975.88,Near-Prime,531.99,733,Leeds,2025-08-02
CUST_000146,18,1401.12,Student,0,2,280.22,Subprime,120.0,589,Liverpool,2025-08-07
CUST_000147,18,9600.0,Part-time,6,1,1536.0,Subprime,456.29,594,Newcastle,2025-07-18
CUST_000148,18,9600.0,Part-time,4,1,1344.0,Near-Prime,445.91,701,Manchester,2025-07-16
CUST_000149,32,38992.84,Full-time,6,5,31194.27,Prime,711.87,850,Sheffield,2025-07-27
CUST_000150,51,49501.86,Full-time,7,1,8415.32,Subprime,213.88,639,Newcastle,2025-07-16
CUST_000151,66,44174.69,Part-time,9,3,25179.57,Prime,56.61,839,Birmingham,2025-08-04
CUST_000152,48,53663.58,Full-time,4,3,22538.7,Near-Prime,364.22,714,Sheffield,2025-08-03
CUST_000153,20,49269.33,Full-time,2,1,5912.32,Near-Prime,580.75,734,Newcastle,2025-07-09
CUST_000154,18,26768.21,Part-time,2,3,9636.56,Near-Prime,221.52,654,Cardiff,2025-08-07
CUST_000155,18,24028.92,Part-time,11,1,5046.07,Near-Prime,764.68,671,Birmingham,2025-07-24
CUST_000156,48,70834.16,Full-time,9,5,67292.45,Prime,270.0,797,Birmingham,2025-08-01
CUST_000157,36,31140.54,Part-time,8,3,16815.89,Prime,92.87,763,Newcastle,2025-07-09
CUST_000158,34,27393.66,Full-time,3,5,17805.88,Prime,300.2,840,Birmingham,2025-07-14
CUST_000159,44,34828.84,Part-time,4,3,14628.11,Near-Prime,338.09,714,Cardiff,2025-07-26
CUST_000160,27,16000.0,Full-time,1,2,3520.0,Subprime,287.18,620,Cardiff,2025-07-23
CUST_000161,44,53492.65,Full-time,1,4,23536.77,Prime,424.58,758,London,2025-07-20
CUST_000162,88,98359.75,Retired,6,4,62950.24,Prime,325.76,765,Liverpool,2025-07-11
CUST_000163,59,33674.97,Part-time,3,2,8755.49,Near-Prime,172.8,693,Bristol,2025-07-20
CUST_000164,58,77579.8,Full-time,2,4,37238.3,Prime,246.13,762,London,2025-08-05
CUST_000165,63,85302.19,Self-employed,2,3,30708.79,Prime,207.73,850,Manchester,2025-07-12
CUST_000166,18,57862.38,Full-time,0,3,17358.71,Near-Prime,157.91,666,Leeds,2025-07-13
CUST_000167,193,238414.8,Retired,0,3,71524.44,Prime,123.36,850,London,2025-08-01
CUST_000168,36,29878.78,Full-time,3,2,7768.48,Near-Prime,477.04,719,Glasgow,2025-07-12
CUST_000169,23,16000.0,Full-time,0,2,3200.0,Near-Prime,409.33,654,Leeds,2025-08-03
CUST_000170,42,93293.87,Full-time,0,3,27988.16,Near-Prime,524.68,724,Glasgow,2025-07-15
CUST_000171,49,32510.5,Full-time,5,3,14629.73,Prime,121.88,850,Birmingham,2025-07-15
CUST_000172,62,70820.34,Full-time,3,5,46033.22,Prime,373.96,816,Bristol,2025-08-01
CUST_000173,41,58256.51,Full-time,3,1,7573.35,Subprime,385.57,625,Bristol,2025-08-04
CUST_000174,18,19827.52,Part-time,4,2,5551.71,Prime,496.26,831,London,2025-07-17
CUST_000175,33,27651.58,Full-time,1,2,6083.35,Prime,139.24,752,Manchester,2025-07-21
CUST_000176,69,89374.61,Retired,3,4,46474.8,Prime,277.0,785,Bristol,2025-08-03
CUST_000177,18,4592.06,Student,12,3,3030.76,Prime,142.52,777,Manchester,2025-08-07
CUST_000178,29,27556.42,Full-time,6,1,4409.03,Near-Prime,411.84,703,London,2025-07-29
CUST_000179,35,45747.08,Full-time,1,2,10064.36,Near-Prime,271.7,743,Leeds,2025-07-19
CUST_000180,22,37656.57,Full-time,0,1,3765.66,Subprime,614.78,618,London,2025-08-04
CUST_000181,63,52168.39,Self-employed,3,2,13563.78,Near-Prime,606.85,708,Birmingham,2025-07-18
CUST_000182,18,21606.09,Full-time,5,3,9722.74,Near-Prime,404.83,721,Glasgow,2025-07-24
CUST_000183,63,49123.56,Part-time,3,1,6386.06,Near-Prime,359.6,689,Sheffield,2025-07-28
CUST_000184,75,50912.21,Retired,3,3,19855.76,Near-Prime,101.74,663,Manchester,2025-07-27
CUST_000185,86,60624.69,Part-time,12,5,66687.15,Prime,460.0,850,Sheffield,2025-07-30
CUST_000186,18,13353.23,Student,1,2,2937.71,Subprime,445.69,614,Glasgow,2025-08-03
CUST_000187,36,377.06,Unemployed,5,3,169.68,Prime,178.9,785,Sheffield,2025-07-30
CUST_000188,43,29557.31,Full-time,2,3,10640.63,Near-Prime,628.02,745,Glasgow,2025-07-14
CUST_000189,18,9600.0,Part-time,5,5,7200.0,Prime,346.28,850,London,2025-07-21
CUST_000190,57,57784.73,Full-time,1,5,31781.6,Prime,361.42,777,Cardiff,2025-07-19
CUST_000191,32,26770.22,Part-time,0,2,5354.04,Prime,245.33,795,Cardiff,2025-07-12
CUST_000192,86,120151.74,Retired,3,3,46859.18,Prime,130.39,850,Glasgow,2025-07-25
CUST_000193,24,9600.0,Part-time,1,3,3168.0,Near-Prime,446.74,715,Sheffield,2025-07-10
CUST_000194,38,55717.93,Full-time,4,3,23401.53,Prime,168.2,779,Manchester,2025-08-06
CUST_000195,49,11521.63,Unemployed,4,1,1613.03,Near-Prime,387.68,749,Liverpool,2025-08-04
CUST_000196,50,108867.39,Self-employed,6,3,52256.35,Near-Prime,426.02,697,Bristol,2025-07-20
CUST_000197,61,1845.68,Unemployed,22,1,590.62,Subprime,145.9,644,Cardiff,2025-08-06
CUST_000198,74,83316.0,Retired,8,2,29993.76,Near-Prime,367.98,743,London,2025-07-19
CUST_000199,39,47358.79,Contract,0,4,18943.52,Prime,492.32,850,Liverpool,2025-07-09
CUST_000200,84,98118.85,Retired,4,2,27473.28,Near-Prime,447.78,732,Birmingham,2025-07-12
CUST_000201,38,40522.04,Part-time,1,2,8914.85,Subprime,250.62,573,Newcastle,2025-07-11
CUST_000202,18,22.11,Student,1,1,2.43,Near-Prime,616.76,742,Birmingham,2025-07-20
CUST_000203,18,36750.86,Full-time,2,2,8820.21,Subprime,549.7,648,Manchester,2025-07-12
CUST_000204,39,58727.2,Full-time,3,1,7634.54,Subprime,428.59,638,Birmingham,2025-07-10
CUST_000205,40,67629.13,Full-time,6,2,21641.32,Prime,320.21,850,Sheffield,2025-07-25
CUST_000206,19,25243.86,Part-time,6,1,4039.02,Deep-Subprime,198.77,545,Leeds,2025-07-12
CUST_000207,60,66754.35,Self-employed,7,5,56741.2,Prime,578.53,850,Sheffield,2025-08-02
CUST_000208,81,103407.46,Retired,3,3,40328.91,Prime,197.42,850,Liverpool,2025-07-20
CUST_000209,22,30846.2,Full-time,1,4,13572.33,Prime,98.68,781,London,2025-07-22
CUST_000210,90,138600.16,Retired,1,4,60984.07,Prime,164.09,850,Sheffield,2025-08-01
CUST_000211,86,63714.39,Part-time,2,2,15291.45,Prime,239.82,804,Liverpool,2025-07-19
CUST_000212,18,4311.92,Student,0,2,862.38,Subprime,383.85,641,Birmingham,2025-08-04
CUST_000213,26,52448.67,Full-time,6,3,25175.36,Prime,57.82,826,Leeds,2025-07-15
CUST_000214,42,40831.51,Full-time,9,5,38789.94,Prime,473.47,760,Sheffield,2025-08-05
CUST_000215,18,22886.08,Full-time,0,2,4577.22,Subprime,379.65,617,Newcastle,2025-08-05
CUST_000216,68,55612.2,Part-time,3,5,36147.93,Prime,294.94,761,Manchester,2025-07-31
CUST_000217,18,7402.51,Student,6,3,3553.21,Near-Prime,316.3,661,Bristol,2025-07-20
CUST_000218,87,60896.44,Part-time,8,4,43845.44,Prime,413.43,820,Sheffield,2025-07-31
CUST_000219,22,16000.0,Full-time,4,1,2240.0,Near-Prime,186.12,674,London,2025-07-28
CUST_000220,18,25637.24,Full-time,1,3,8460.29,Near-Prime,281.32,739,Newcastle,2025-07-18
CUST_000221,27,48662.1,Full-time,1,2,10705.66,Near-Prime,295.13,667,Liverpool,2025-07-13
CUST_000222,76,104168.45,Retired,2,3,37500.64,Prime,34.99,838,Bristol,2025-07-13
CUST_000223,58,67491.57,Full-time,0,2,13498.31,Near-Prime,14.44,729,Sheffield,2025-07-29
CUST_000224,45,25545.58,Part-time,0,3,7663.67,Near-Prime,156.57,721,Liverpool,2025-07-26
CUST_000225,25,12239.49,Part-time,1,2,2692.69,Near-Prime,262.4,664,London,2025-07-29
CUST_000226,58,80952.87,Full-time,0,2,16190.57,Prime,319.24,771,Liverpool,2025-07-28
CUST_000227,55,48381.81,Part-time,7,4,32899.63,Prime,577.03,850,Cardiff,2025-07-31
CUST_000228,99,84520.48,Part-time,3,1,10987.66,Subprime,378.68,642,Birmingham,2025-07-11
CUST_000229,28,63363.76,Full-time,1,2,13940.03,Subprime,237.1,616,Manchester,2025-07-13
CUST_000230,74,80937.92,Retired,3,2,21043.86,Near-Prime,497.35,735,Manchester,2025-07-11
CUST_000231,24,45227.96,Self-employed,3,2,11759.27,Prime,317.99,840,Birmingham,2025-07-28
CUST_000232,84,93390.4,Retired,4,2,26149.31,Prime,173.05,850,Glasgow,2025-07-25
CUST_000233,69,84814.02,Retired,1,3,27988.63,Near-Prime,147.11,729,London,2025-07-14
CUST_000234,18,13508.06,Part-time,1,3,4457.66,Prime,17.22,782,Glasgow,2025-07-21
CUST_000235,55,76348.09,Full-time,0,2,15269.62,Prime,473.73,800,Glasgow,2025-07-18
CUST_000236,85,110644.75,Retired,0,3,33193.43,Prime,172.41,844,Manchester,2025-07-18
CUST_000237,26,41639.01,Full-time,0,3,12491.7,Near-Prime,367.31,744,Glasgow,2025-08-04
CUST_000238,21,9600.0,Part-time,5,5,7200.0,Prime,320.48,825,Glasgow,2025-07-30
CUST_000239,70,67145.53,Part-time,10,3,40287.32,Prime,159.73,850,Manchester,2025-07-15
CUST_000240,18,16000.0,Full-time,3,3,6240.0,Prime,414.8,780,Liverpool,2025-07-29
CUST_000241,36,38809.11,Full-time,3,2,10090.37,Near-Prime,181.7,748,Sheffield,2025-07-17
CUST_000242,78,106560.58,Retired,3,1,13852.88,Near-Prime,32.25,672,Manchester,2025-07-22
CUST_000243,55,75194.85,Full-time,2,3,27070.15,Near-Prime,320.91,747,Liverpool,2025-07-31
CUST_000244,29,47242.25,Self-employed,2,3,17007.21,Prime,99.2,778,Leeds,2025-07-21
CUST_000245,37,10543.15,Part-time,1,2,2319.49,Near-Prime,86.22,723,Sheffield,2025-07-12
CUST_000246,26,32925.97,Full-time,1,1,3621.86,Near-Prime,194.14,733,Cardiff,2025-07-30
CUST_000247,18,18805.03,Full-time,1,2,4137.11,Near-Prime,87.88,661,Cardiff,2025-08-04
CUST_000248,41,57847.0,Full-time,1,2,12726.34,Near-Prime,240.51,730,Birmingham,2025-07-13
CUST_000249,18,8438.33,Student,3,1,1096.98,Near-Prime,215.51,655,Birmingham,2025-07-11
CUST_000250,26,38232.36,Full-time,6,3,18351.53,Prime,173.33,762,Sheffield,2025-08-04
CUST_000251,41,17910.22,Part-time,3,2,4656.66,Subprime,185.27,639,Sheffield,2025-07-09
CUST_000252,35,52076.3,Full-time,2,2,12498.31,Prime,420.56,833,Bristol,2025-07-13
CUST_000253,36,21573.42,Full-time,5,2,6472.03,Prime,291.39,850,London,2025-07-20
CUST_000254,18,16000.0,Full-time,5,3,7200.0,Near-Prime,282.18,735,London,2025-07-17
CUST_000255,43,34518.36,Part-time,11,5,36244.27,Prime,324.17,759,Cardiff,2025-07-28
CUST_000256,23,35716.73,Full-time,1,3,11786.52,Near-Prime,515.14,743,London,2025-08-01
CUST_000257,18,19164.0,Part-time,1,2,4216.08,Near-Prime,273.89,712,Glasgow,2025-08-01
CUST_000258,23,54469.3,Full-time,0,2,10893.86,Subprime,286.02,639,Manchester,2025-07-19
CUST_000259,83,127900.64,Retired,2,4,61392.31,Prime,186.33,850,Cardiff,2025-07-28
CUST_000260,18,18441.11,Full-time,4,3,7745.27,Near-Prime,94.57,710,Newcastle,2025-07-11
CUST_000261,19,75.4,Student,0,3,22.62,Near-Prime,195.45,699,Bristol,2025-07-16
CUST_000262,18,51210.45,Full-time,7,1,8705.78,Near-Prime,229.86,672,Leeds,2025-07-27
CUST_000263,43,46444.73,Full-time,0,1,4644.47,Near-Prime,115.08,708,Liverpool,2025-07-09
CUST_000264,49,65197.16,Full-time,5,4,39118.29,Prime,286.19,839,Glasgow,2025-07-27
CUST_000265,89,119231.77,Retired,1,4,52461.98,Prime,359.22,820,Leeds,2025-07-21
CUST_000266,46,36026.86,Contract,3,5,23417.46,Prime,167.68,786,Newcastle,2025-07-31
CUST_000267,37,49010.6,Full-time,1,2,10782.33,Prime,253.92,778,London,2025-07-22
CUST_000268,26,26600.43,Full-time,3,1,3458.06,Near-Prime,225.52,699,Liverpool,2025-07-29
CUST_000269,90,69240.05,Part-time,1,1,7616.41,Near-Prime,113.44,746,London,2025-08-04
CUST_000270,25,19463.45,Part-time,4,2,5449.77,Subprime,266.15,579,Leeds,2025-08-01
