customer_id,credit_score,credit_history_length,number_of_accounts,total_credit_limit,credit_utilization,payment_history,public_records
CUST_000121,798,1,2,11996,0.43,0.993,0
CUST_000122,617,0,4,954,0.654,0.84,0
CUST_000123,693,8,3,12547,0.465,0.877,0
CUST_000124,739,8,2,14489,0.077,0.914,0
CUST_000125,596,5,1,7600,0.869,0.695,1
CUST_000126,802,17,5,32909,0.184,0.996,0
CUST_000127,850,21,10,7356,0.053,0.977,0
CUST_000128,516,2,3,873,0.759,0.75,0
CUST_000129,781,7,3,8327,0.106,0.965,0
CUST_000130,658,0,1,4332,0.121,0.897,0
CUST_000131,850,10,4,23059,0.539,0.959,0
CUST_000132,709,9,4,17722,0.409,0.928,0
CUST_000133,599,0,1,997,0.63,0.695,1
CUST_000134,823,6,5,40660,0.095,0.998,0
CUST_000135,850,46,3,114433,0.389,0.999,0
CUST_000136,729,13,6,67433,0.337,0.857,0
CUST_000137,768,3,3,30466,0.356,0.986,0
CUST_000138,546,0,1,655,0.438,0.833,0
CUST_000139,699,0,3,7280,0.568,0.882,0
CUST_000140,707,3,4,39025,0.806,0.929,0
CUST_000141,712,1,3,18070,0.462,0.896,0
CUST_000142,725,4,7,885,0.063,0.91,0
CUST_000143,680,0,2,3694,0.8,0.888,0
CUST_000144,738,6,4,53094,0.218,0.944,0
CUST_000145,733,0,3,9734,0.495,0.853,0
CUST_000146,589,0,1,500,0.729,0.789,0
CUST_000147,594,0,1,1329,0.865,0.671,0
CUST_000148,701,0,1,1502,0.396,0.865,0
CUST_000149,850,13,6,21168,0.101,0.984,0
CUST_000150,639,1,1,20450,0.525,0.832,0
CUST_000151,839,4,9,8901,0.071,0.962,0
CUST_000152,714,5,5,28664,0.246,0.931,0
CUST_000153,734,1,5,9610,0.314,0.936,0
CUST_000154,654,0,2,4397,0.285,0.909,0
CUST_000155,671,0,2,8332,0.477,0.853,0
CUST_000156,797,20,3,14291,0.399,0.988,0
CUST_000157,763,23,4,5641,0.42,0.977,0
CUST_000158,840,11,3,2684,0.486,0.992,0
CUST_000159,714,6,3,10670,0.465,0.931,0
CUST_000160,620,3,3,2379,0.928,0.817,0
CUST_000161,758,12,2,10621,0.407,0.964,0
CUST_000162,765,3,3,12857,0.329,0.955,0
CUST_000163,693,8,3,20502,0.429,0.946,0
CUST_000164,762,9,2,7563,0.076,0.968,0
CUST_000165,850,7,7,54362,0.238,0.954,0
CUST_000166,666,0,3,18851,0.3,0.886,0
CUST_000167,850,5,7,41921,0.815,0.998,0
CUST_000168,719,1,3,30088,0.33,0.905,0
CUST_000169,654,4,2,5510,0.151,0.86,0
CUST_000170,724,0,6,18231,0.125,0.893,0
CUST_000171,850,51,4,11203,0.061,0.957,0
CUST_000172,816,2,3,19503,0.054,0.977,0
CUST_000173,625,18,4,81775,0.591,0.765,0
CUST_000174,831,0,2,5134,0.165,0.967,0
CUST_000175,752,6,4,12747,0.0,0.972,0
CUST_000176,785,14,4,77965,0.098,0.977,0
CUST_000177,777,0,1,2479,0.049,0.973,0
CUST_000178,703,6,6,19340,0.387,0.945,0
CUST_000179,743,13,9,17590,0.233,0.945,0
CUST_000180,618,3,5,7189,0.657,0.829,0
CUST_000181,708,3,7,14570,0.615,0.87,0
CUST_000182,721,0,2,4037,0.557,0.947,0
CUST_000183,689,9,5,6263,0.13,0.861,0
CUST_000184,663,18,6,17067,0.381,0.863,0
CUST_000185,850,2,6,61647,0.103,0.966,0
CUST_000186,614,0,1,4538,0.55,0.812,0
CUST_000187,785,3,3,500,0.185,0.987,0
CUST_000188,745,4,6,4810,0.597,0.945,0
CUST_000189,850,0,5,1485,0.307,0.959,0
CUST_000190,777,4,4,5998,0.191,0.998,0
CUST_000191,795,5,3,2592,0.259,0.955,0
CUST_000192,850,19,6,11184,0.515,0.996,0
CUST_000193,715,2,4,3752,0.501,0.873,0
CUST_000194,779,3,6,45651,0.36,0.972,0
CUST_000195,749,21,6,4995,0.416,0.92,0
CUST_000196,697,12,3,36873,0.649,0.888,0
CUST_000197,644,0,3,500,0.561,0.826,0
CUST_000198,743,9,0,75960,0.393,0.881,0
CUST_000199,850,4,4,9487,0.132,0.969,0
CUST_000200,732,9,0,15413,0.492,0.899,0
CUST_000201,573,7,2,22820,0.263,0.614,0
CUST_000202,742,0,2,500,0.164,0.944,0
CUST_000203,648,0,4,38392,0.628,0.826,0
CUST_000204,638,8,1,13845,0.488,0.726,0
CUST_000205,850,9,3,39615,0.496,0.99,0
CUST_000206,545,0,2,2865,0.873,0.648,0
CUST_000207,850,32,7,12648,0.04,0.997,0
CUST_000208,850,29,6,15007,0.423,0.986,0
CUST_000209,781,0,6,23312,0.331,0.968,0
CUST_000210,850,24,5,121329,0.416,0.974,0
CUST_000211,804,52,5,27640,0.185,0.987,0
CUST_000212,641,0,6,500,0.725,0.803,0
CUST_000213,826,3,4,12170,0.63,0.996,0
CUST_000214,760,2,4,500,0.391,0.967,0
CUST_000215,617,0,4,4014,0.841,0.732,0
CUST_000216,761,24,7,20396,0.045,0.967,0
CUST_000217,661,0,1,1248,0.355,0.908,0
CUST_000218,820,12,4,49777,0.148,0.995,0
CUST_000219,674,1,5,6130,0.314,0.877,0
CUST_000220,739,0,2,1028,0.095,0.889,0
CUST_000221,667,3,2,22115,0.395,0.853,0
CUST_000222,838,6,4,68524,0.334,0.956,0
CUST_000223,729,36,5,25698,0.353,0.944,0
CUST_000224,721,11,6,17545,0.505,0.949,0
CUST_000225,664,2,5,4092,0.024,0.928,0
CUST_000226,771,5,1,49911,0.181,0.992,0
CUST_000227,850,5,7,14125,0.047,0.995,0
CUST_000228,642,5,10,45918,0.811,0.635,0
CUST_000229,616,0,1,8197,0.683,0.726,0
CUST_000230,735,13,9,41364,0.362,0.944,0
CUST_000231,840,3,5,42294,0.131,0.965,0
CUST_000232,850,12,8,20591,0.04,0.958,0
CUST_000233,729,16,4,15741,0.617,0.876,0
CUST_000234,782,0,2,17855,0.308,0.967,0
CUST_000235,800,40,5,20155,0.137,0.964,0
CUST_000236,844,1,4,45483,0.372,0.977,0
CUST_000237,744,0,5,16714,0.168,0.872,0
CUST_000238,825,0,6,1391,0.107,0.991,0
CUST_000239,850,5,2,61491,0.082,0.988,0
CUST_000240,780,0,1,3039,0.009,0.965,0
CUST_000241,748,18,1,2720,0.37,0.905,0
CUST_000242,672,5,2,52983,0.535,0.861,0
CUST_000243,747,18,3,13716,0.497,0.907,0
CUST_000244,778,1,4,11902,0.033,0.97,0
CUST_000245,723,1,1,1564,0.057,0.88,0
CUST_000246,733,6,6,17045,0.113,0.857,0
CUST_000247,661,0,4,5023,0.207,0.927,0
CUST_000248,730,24,7,84709,0.494,0.868,0
CUST_000249,655,0,5,3361,0.4,0.874,0
CUST_000250,762,1,5,22027,0.087,0.966,0
CUST_000251,639,4,4,10729,0.48,0.614,0
CUST_000252,833,1,6,9175,0.281,0.955,0
CUST_000253,850,4,6,10946,0.544,0.997,0
CUST_000254,735,0,3,5146,0.596,0.879,0
CUST_000255,759,1,4,8979,0.462,0.981,0
CUST_000256,743,6,1,6421,0.079,0.941,0
CUST_000257,712,0,6,9435,0.221,0.86,0
CUST_000258,639,1,0,20437,0.434,0.792,0
CUST_000259,850,12,7,173462,0.082,0.962,0
CUST_000260,710,0,2,3537,0.272,0.934,0
CUST_000261,699,0,2,500,0.452,0.914,0
CUST_000262,672,0,5,11693,0.418,0.943,0
CUST_000263,708,10,9,6084,0.466,0.948,0
CUST_000264,839,22,5,42463,0.357,0.96,0
CUST_000265,820,1,6,110135,0.436,0.999,0
CUST_000266,786,2,4,15812,0.045,0.995,0
CUST_000267,778,13,2,33462,0.182,0.981,0
CUST_000268,699,1,2,14085,0.454,0.888,0
CUST_000269,746,5,2,22209,0.596,0.919,0
CUST_000270,579,8,1,1576,0.243,0.803,0
CUST_000271,717,0,3,1059,0.305,0.925,0
CUST_000272,686,0,1,1668,0.188,0.851,0
CUST_000273,757,3,7,2275,0.47,0.98,0
CUST_000274,850,0,5,9591,0.047,0.986,0
CUST_000275,599,0,4,1770,0.337,0.634,0
CUST_000276,632,16,3,15950,0.791,0.798,0
CUST_000277,666,10,3,47595,0.585,0.892,0
CUST_000278,657,0,3,529,0.123,0.924,0
CUST_000279,638,0,3,10784,0.745,0.834,0
CUST_000280,705,6,3,19032,0.016,0.855,0
CUST_000281,651,0,3,12052,0.292,0.914,0
CUST_000282,850,10,5,54160,0.097,0.988,0
CUST_000283,819,16,6,35919,0.183,0.991,0
CUST_000284,830,0,7,2186,0.056,0.991,0
CUST_000285,743,1,5,2381,0.445,0.911,0
CUST_000286,850,10,7,8883,0.323,0.975,0
CUST_000287,746,9,4,37123,0.362,0.894,0
CUST_000288,787,0,5,2884,0.127,0.979,0
CUST_000289,811,30,8,27730,0.362,0.957,0
CUST_000290,639,3,3,14139,0.502,0.762,0
CUST_000291,804,1,12,15509,0.136,0.987,0
CUST_000292,768,23,4,19228,0.347,0.97,0
CUST_000293,648,4,7,7010,0.213,0.711,0
CUST_000294,778,0,3,4652,0.224,0.964,0
CUST_000295,642,0,1,3163,0.748,0.699,0
CUST_000296,722,35,3,4620,0.729,0.941,0
CUST_000297,843,19,4,43719,0.055,0.975,0
CUST_000298,709,0,2,1332,0.403,0.92,0
CUST_000299,671,1,7,20493,0.249,0.866,0
CUST_000300,739,0,5,9788,0.314,0.865,0
CUST_000301,751,10,2,5652,0.016,0.956,0
CUST_000302,583,4,4,6741,0.836,0.741,0
CUST_000303,578,0,3,3474,0.543,0.61,0
CUST_000304,754,7,4,25091,0.401,0.965,0
CUST_000305,669,0,0,500,0.308,0.886,0
CUST_000306,801,8,5,66496,0.662,1.0,0
CUST_000307,763,15,7,52010,0.236,0.989,0
CUST_000308,780,0,4,12435,0.04,0.969,0
CUST_000309,633,0,3,500,0.649,0.765,0
CUST_000310,706,0,2,1064,0.274,0.904,0
CUST_000311,581,0,2,15697,0.344,0.62,0
CUST_000312,718,0,4,603,0.394,0.913,0
CUST_000313,674,9,3,8439,0.81,0.945,0
CUST_000314,691,0,3,4343,0.398,0.922,0
CUST_000315,628,1,2,1619,0.307,0.67,0
CUST_000316,850,12,8,36816,0.065,0.951,0
CUST_000317,735,2,8,4718,0.203,0.869,0
CUST_000318,741,16,1,22821,0.644,0.916,0
CUST_000319,850,5,2,4065,0.169,0.969,0
CUST_000320,850,5,2,15411,0.273,0.981,0
CUST_000321,651,1,1,7089,0.388,0.865,0
CUST_000322,723,0,6,4673,0.551,0.942,0
CUST_000323,699,12,2,33195,0.678,0.902,0
CUST_000324,819,7,2,9793,0.053,0.956,0
CUST_000325,850,16,5,4935,0.134,0.999,0
CUST_000326,631,2,3,4857,0.615,0.817,0
CUST_000327,688,0,3,19509,0.437,0.891,0
CUST_000328,670,9,2,9934,0.44,0.902,0
CUST_000329,713,0,0,7868,0.183,0.85,0
CUST_000330,850,1,5,33462,0.018,0.991,0
CUST_000331,709,0,9,11974,0.448,0.901,0
CUST_000332,797,16,5,13309,0.008,0.987,0
CUST_000333,672,32,5,1825,0.489,0.903,0
CUST_000334,745,37,5,25739,0.708,0.912,0
CUST_000335,463,2,0,17511,0.403,0.741,1
CUST_000336,744,6,2,16195,0.163,0.867,0
CUST_000337,630,0,4,6485,0.795,0.678,0
CUST_000338,747,17,5,16217,0.309,0.938,0
CUST_000339,656,21,3,46725,0.305,0.916,0
CUST_000340,829,3,4,5836,0.078,0.996,0
CUST_000341,687,2,4,3671,0.64,0.933,0
CUST_000342,647,4,3,500,0.265,0.815,0
CUST_000343,687,3,4,7834,0.455,0.923,0
CUST_000344,850,6,7,20219,0.268,0.96,0
CUST_000345,771,1,4,2287,0.666,0.998,0
CUST_000346,658,0,6,4300,0.307,0.86,0
CUST_000347,794,13,6,10179,0.57,0.97,0
CUST_000348,735,9,5,21465,0.138,0.867,0
CUST_000349,736,0,4,3154,0.651,0.85,0
CUST_000350,850,7,5,17904,0.115,0.96,0
CUST_000351,814,15,6,20692,0.32,0.95,0
CUST_000352,703,0,3,3794,0.648,0.919,0
CUST_000353,660,0,1,9807,0.04,0.897,0
CUST_000354,765,57,3,992,0.114,0.988,0
CUST_000355,709,0,2,3131,0.803,0.889,0
CUST_000356,536,1,3,6001,0.714,0.671,2
CUST_000357,850,7,4,53964,0.137,0.996,0
CUST_000358,850,0,5,61157,0.117,0.971,0
CUST_000359,651,0,4,537,0.415,0.892,0
CUST_000360,850,18,5,40904,0.171,0.953,0
CUST_000361,671,1,3,8677,0.56,0.928,0
CUST_000362,651,0,1,623,0.4,0.92,0
CUST_000363,730,3,2,24073,0.083,0.866,0
CUST_000364,850,9,3,56791,0.497,0.952,0
CUST_000365,751,0,5,2506,0.326,0.958,0
CUST_000366,542,3,1,931,0.582,0.639,0
CUST_000367,841,11,2,500,0.077,0.986,0
CUST_000368,782,10,2,16999,0.063,0.976,0
CUST_000369,739,0,4,16208,0.26,0.928,0
CUST_000370,781,13,5,45068,0.067,0.989,0
CUST_000371,597,0,1,500,0.579,0.754,0
CUST_000372,758,7,3,500,0.343,0.991,0
CUST_000373,666,3,3,15208,0.149,0.881,0
CUST_000374,670,0,3,13693,0.141,0.875,0
CUST_000375,832,11,3,12112,0.012,0.973,0
CUST_000376,497,0,0,500,0.82,0.645,0
CUST_000377,850,0,7,500,0.295,0.966,0
CUST_000378,701,5,3,27672,0.315,0.916,0
CUST_000379,648,5,5,22232,0.545,0.732,0
CUST_000380,850,19,4,10338,0.451,0.961,0
CUST_000381,539,0,1,5985,0.768,0.726,0
CUST_000382,682,20,2,24872,0.389,0.949,0
CUST_000383,599,0,5,2119,0.595,0.85,0
CUST_000384,678,38,3,37165,0.383,0.907,0
CUST_000385,708,0,6,20216,0.207,0.881,0
CUST_000386,850,22,2,12026,0.04,0.958,0
CUST_000387,847,10,4,126292,0.148,0.998,0
CUST_000388,850,5,8,133410,0.003,0.985,0
CUST_000389,600,0,2,17291,0.526,0.633,0
CUST_000390,709,0,3,2493,0.355,0.867,0
CUST_000391,653,1,6,968,0.107,0.856,0
CUST_000392,627,26,0,31226,0.531,0.643,0
CUST_000393,835,18,1,8362,0.166,0.972,0
CUST_000394,850,15,2,68553,0.471,0.961,0
CUST_000395,843,2,6,3198,0.021,0.972,0
CUST_000396,805,0,3,3329,0.146,0.973,0
CUST_000397,753,27,3,15745,0.114,0.995,0
CUST_000398,760,2,3,563,0.035,0.977,0
CUST_000399,742,4,8,33278,0.089,0.884,0
CUST_000400,682,33,5,25548,0.294,0.91,0
CUST_000401,850,3,6,49454,0.065,0.997,0
CUST_000402,746,7,10,9734,0.49,0.887,0
CUST_000403,659,0,2,6774,0.394,0.861,0
CUST_000404,708,10,2,24828,0.407,0.887,0
CUST_000405,759,0,4,1313,0.121,0.961,0
CUST_000406,778,0,4,20605,0.168,0.954,0
CUST_000407,808,4,6,20413,0.065,0.988,0
CUST_000408,850,0,8,30009,0.008,0.964,0
CUST_000409,799,19,2,23882,0.113,0.975,0
CUST_000410,608,0,6,5530,0.922,0.681,0
CUST_000411,694,2,3,1146,0.149,0.914,0
CUST_000412,693,0,5,6495,0.377,0.905,0
CUST_000413,694,0,3,561,0.416,0.867,0
CUST_000414,837,3,9,19671,0.111,0.992,0
CUST_000415,607,0,3,3017,0.374,0.673,0
CUST_000416,850,12,7,39955,0.042,0.954,0
CUST_000417,741,6,3,74416,0.582,0.925,0
CUST_000418,704,3,2,6347,0.207,0.913,0
CUST_000419,686,0,2,1548,0.494,0.895,0
CUST_000420,850,31,5,75054,0.394,0.991,0
CUST_000421,705,4,4,43202,0.235,0.914,0
CUST_000422,850,8,5,17345,0.058,0.996,0
CUST_000423,716,2,3,18618,0.574,0.9,0
CUST_000424,660,4,0,3812,0.516,0.877,0
CUST_000425,850,56,7,51643,0.25,0.95,0
CUST_000426,705,14,3,6676,0.446,0.862,0
CUST_000427,473,3,0,14290,0.484,0.746,0
CUST_000428,850,6,3,78095,0.045,0.981,0
CUST_000429,615,6,1,44379,0.606,0.728,0
CUST_000430,787,12,7,4987,0.213,0.989,0
CUST_000431,668,11,1,4317,0.219,0.869,0
CUST_000432,850,19,5,34685,0.663,0.962,0
CUST_000433,667,0,4,10723,0.264,0.886,0
CUST_000434,803,0,6,5617,0.033,0.982,0
CUST_000435,698,1,4,25719,0.789,0.878,0
CUST_000436,600,0,6,578,0.454,0.784,0
CUST_000437,678,1,5,10729,0.681,0.938,0
CUST_000438,850,5,1,24898,0.025,0.993,0
CUST_000439,665,0,4,8820,0.403,0.894,0
CUST_000440,523,2,1,21594,0.51,0.79,1
CUST_000441,648,0,5,2157,0.639,0.808,0
CUST_000442,614,0,5,11945,0.309,0.808,0
CUST_000443,850,13,1,76507,0.431,0.964,0
CUST_000444,850,12,4,57310,0.467,0.98,0
CUST_000445,783,0,2,4624,0.647,0.961,0
CUST_000446,683,0,8,2006,0.415,0.945,0
CUST_000447,667,4,4,12031,0.587,0.859,0
CUST_000448,683,0,0,21174,0.367,0.911,0
CUST_000449,565,0,1,2897,0.612,0.641,1
CUST_000450,850,8,6,19988,0.623,0.953,0
CUST_000451,849,70,5,31186,0.1,0.988,0
CUST_000452,831,23,4,24957,0.016,0.953,0
CUST_000453,587,0,4,2942,0.736,0.799,1
CUST_000454,607,9,1,5069,0.627,0.718,0
CUST_000455,759,0,4,17402,0.045,0.986,0
CUST_000456,787,11,6,71052,0.195,0.957,0
CUST_000457,584,0,4,2328,0.354,0.825,0
CUST_000458,839,0,5,500,0.223,0.963,0
CUST_000459,628,21,5,7049,0.771,0.656,0
CUST_000460,782,0,6,36091,0.137,0.966,0
CUST_000461,810,21,5,33914,0.107,0.962,0
CUST_000462,790,3,5,11167,0.114,0.975,0
CUST_000463,721,10,2,4608,0.529,0.873,0
CUST_000464,839,9,5,21969,0.045,0.953,0
CUST_000465,850,5,3,5583,0.545,0.95,0
CUST_000466,850,12,0,19283,0.101,0.988,0
CUST_000467,847,4,7,19823,0.008,0.968,0
CUST_000468,688,1,2,7021,0.152,0.854,0
CUST_000469,598,20,3,4582,0.368,0.828,0
CUST_000470,722,8,3,5297,0.501,0.927,0
CUST_000471,850,24,6,85216,0.023,0.974,0
CUST_000472,763,0,3,5864,0.04,0.955,0
CUST_000473,850,9,7,19264,0.125,0.96,0
CUST_000474,780,15,5,16069,0.089,0.999,0
CUST_000475,651,4,2,6906,0.514,0.873,0
CUST_000476,850,45,6,40758,0.097,0.974,0
CUST_000477,850,1,5,57748,0.166,0.964,0
CUST_000478,613,7,4,500,0.447,0.8,0
CUST_000479,770,6,4,11248,0.065,1.0,0
CUST_000480,731,0,4,1531,0.611,0.864,0
CUST_000481,641,15,1,5400,0.549,0.762,0
CUST_000482,530,2,2,580,0.777,0.808,0
CUST_000483,842,14,2,8386,0.525,0.976,0
CUST_000484,850,4,4,218141,0.004,0.991,0
CUST_000485,669,0,4,1583,0.057,0.867,0
CUST_000486,842,4,3,33408,0.072,0.971,0
CUST_000487,628,0,2,7055,0.157,0.716,0
CUST_000488,762,0,8,2509,0.654,0.977,0
CUST_000489,480,0,2,2782,0.567,0.636,1
CUST_000490,684,0,1,12865,0.707,0.91,0
CUST_000491,806,9,4,3416,0.154,0.991,0
CUST_000492,809,47,3,3698,0.432,0.95,0
CUST_000493,850,7,5,52957,0.021,0.957,0
CUST_000494,810,5,2,1437,0.099,0.966,0
CUST_000495,595,0,1,1548,0.579,0.831,0
CUST_000496,840,19,3,60419,0.021,0.993,0
CUST_000497,818,5,2,15537,0.133,0.997,0
CUST_000498,821,0,5,14987,0.084,0.988,0
CUST_000499,850,1,7,1533,0.216,0.958,0
CUST_000500,783,1,3,36141,0.091,0.991,0
CUST_000501,796,4,7,4231,0.1,0.996,0
CUST_000502,605,4,3,1632,0.351,0.657,0
CUST_000503,672,29,5,38934,0.728,0.879,0
CUST_000504,724,7,3,4124,0.171,0.926,0
CUST_000505,757,6,3,5448,0.169,0.958,0
CUST_000506,744,1,7,572,0.728,0.919,0
CUST_000507,850,26,4,45893,0.205,1.0,0
CUST_000508,479,0,0,541,0.788,0.811,2
CUST_000509,850,3,7,4652,0.587,0.961,0
CUST_000510,731,4,5,12596,0.395,0.916,0
CUST_000511,800,22,3,32590,0.108,0.993,0
CUST_000512,665,0,0,2342,0.73,0.924,0
CUST_000513,767,9,6,11908,0.334,0.976,0
CUST_000514,850,5,11,22820,0.28,0.97,0
CUST_000515,763,30,4,16413,0.017,0.978,0
CUST_000516,683,0,1,3447,0.345,0.884,0
CUST_000517,804,9,3,47446,0.117,0.99,0
CUST_000518,850,10,3,23660,0.189,0.955,0
CUST_000519,642,0,3,3030,0.372,0.847,0
CUST_000520,731,0,1,9074,0.624,0.908,0
CUST_000521,737,0,2,3164,0.275,0.917,0
CUST_000522,609,0,6,9460,0.616,0.769,0
CUST_000523,667,0,4,6633,0.211,0.925,0
CUST_000524,850,4,9,50593,0.259,0.989,0
CUST_000525,744,21,4,850,0.584,0.88,0
CUST_000526,745,0,4,3552,0.668,0.929,0
CUST_000527,791,13,4,13150,0.117,0.952,0
CUST_000528,715,2,6,9763,0.187,0.905,0
CUST_000529,719,0,4,21536,0.843,0.89,0
CUST_000530,555,7,2,500,0.765,0.782,0
CUST_000531,793,0,2,500,0.708,0.985,0
CUST_000532,635,2,5,3007,0.827,0.813,0
CUST_000533,817,11,4,11055,0.267,0.961,0
CUST_000534,637,0,4,6119,0.513,0.757,0
CUST_000535,601,0,4,3370,0.563,0.767,0
CUST_000536,830,3,9,30483,0.259,0.968,0
